name,title,source,url,score,company
Alumina Business Praveen Purohit Chief Human Resources Officer Anup Agarwal,Executive - IT,website,https://www.vedantaaluminium.com/about-us/leadership,20,Vedanta Aluminium
Chandru Chief Executive,Executive - IT,website,https://www.vedantaaluminium.com/about-us/leadership,20,Vedanta Aluminium
BALCO Pranab Kumar Bhattacharyya,Executive - IT,website,https://www.vedantaaluminium.com/about-us/leadership,20,Vedanta Aluminium
Executive Officer,Executive - IT,website,https://www.vedantaaluminium.com/about-us/leadership,20,Vedanta Aluminium
Human Resources Officer Anup Agarwal Chief Financial Officer,Executive - IT,website,https://www.vedantaaluminium.com/about-us/leadership,20,Vedanta Aluminium
Samik Basu Chief Human Resources Officer Mr,Chief Procurement Officer Mr. Sukanta Das Chief Logistics Officer Ms. Geetika Anand Com,website,https://www.hindalco.com/about-us/leadership,65,Hindalco Industries
Manufacturing Centre of Excellence Mr,Chief Procurement Officer Mr. Sukanta Das Chief Logistics Officer Ms. Geetika Anand Com,website,https://www.hindalco.com/about-us/leadership,65,Hindalco Industries
Chief Legal,Chief Procurement Officer Mr. Sukanta Das Chief Logistics Officer Ms. Geetika Anand Com,website,https://www.hindalco.com/about-us/leadership,65,Hindalco Industries
Abhishek Mohla,Chief Procurement Officer Mr. Sukanta Das Chief Logistics Officer Ms. Geetika Anand Com,website,https://www.hindalco.com/about-us/leadership,65,Hindalco Industries
Samik Basu,Chief Procurement Officer Mr. Sukanta Das Chief Logistics Officer Ms. Geetika Anand Com,website,https://www.hindalco.com/about-us/leadership,65,Hindalco Industries
Board Of,Director Details DR . ANOOP KUMAR MITTAL Independent Director Detai,website,https://www.bergerpaints.com/about-us/team,50,Berger Paints
Board Of Directors Management team Key,Director Details DR . ANOOP KUMAR MITTAL Independent Director Detai,website,https://www.bergerpaints.com/about-us/team,50,Berger Paints
CEO Details MR,Director Details DR . ANOOP KUMAR MITTAL Independent Director Detai,website,https://www.bergerpaints.com/about-us/team,50,Berger Paints
Management team Key Managerial Resources MS,Director Details DR . ANOOP KUMAR MITTAL Independent Director Detai,website,https://www.bergerpaints.com/about-us/team,50,Berger Paints
SONU HALAN BHASIN Independent,Director Details DR . ANOOP KUMAR MITTAL Independent Director Detai,website,https://www.bergerpaints.com/about-us/team,50,Berger Paints
