target_account,matched_customer,status
Mahindra & Mahindra,Kotak Mahindra Bank,FLAGGED - EXISTING CUSTOMER
Hindalco Industries,LC,FLAGGED - EXISTING CUSTOMER
Hindustan Unilever,Linclimited,FLAGGED - EXISTING CUSTOMER
Vedanta Aluminium,Vedanta,FLAGGED - EXISTING CUSTOMER
Tata Motors,AM MOTORS,FLAGGED - EXISTING CUSTOMER
Coal India Ltd,Sangita Coal Pvt. Ltd.,FLAGGED - EXISTING CUSTOMER
IOCL Petrochemicals,Kothari Petrochemicals Ltd.,FLAGGED - EXISTING CUSTOMER
HPCL,HP Inc.,FLAGGED - EXISTING CUSTOMER
Reliance Industries,Reliance Energy,FLAGGED - EXISTING CUSTOMER
Nestle India,Nestlé,FLAGGED - EXISTING CUSTOMER
Amul (GCMMF),Linclimited,FLAGGED - EXISTING CUSTOMER
Maruti Suzuki,Maruti Suzuki India Ltd.,FLAGGED - EXISTING CUSTOMER
SAIL,Mail,FLAGGED - EXISTING CUSTOMER
BPCL,BFCL,FLAGGED - EXISTING CUSTOMER
Motherson Sumi,Motherson Group,FLAGGED - EXISTING CUSTOMER
FCI (Food Corporation),Food Corporation of India,FLAGGED - EXISTING CUSTOMER
Ashok Leyland,Ashok Leyland Ltd,FLAGGED - EXISTING CUSTOMER
Vedanta Resources (Holding),Vedanta,FLAGGED - EXISTING CUSTOMER
Vedanta Ltd,Vedanta,FLAGGED - EXISTING CUSTOMER
Berger Paints,Berger Paints India,FLAGGED - EXISTING CUSTOMER
Britannia Industries,BRITANNIA INDUSTRIES LIMITED,FLAGGED - EXISTING CUSTOMER
GAIL India,Mail,FLAGGED - EXISTING CUSTOMER
Polycab India,Polycab India Limited,FLAGGED - EXISTING CUSTOMER
UPL Ltd,UPL,FLAGGED - EXISTING CUSTOMER
ITC Ltd (FMCG),ITC Limited,FLAGGED - EXISTING CUSTOMER
SRF Ltd,SRF,FLAGGED - EXISTING CUSTOMER
Adani Wilmar,Adani Wilmar Ltd,FLAGGED - EXISTING CUSTOMER
Asian Paints,Sircapaints,FLAGGED - EXISTING CUSTOMER
Tata Steel Ltd,Sonata Steel Pvt. Ltd.,FLAGGED - EXISTING CUSTOMER
Torrent Pharma,Crescent Pharma,FLAGGED - EXISTING CUSTOMER
Sun Pharma,Salius Pharma,FLAGGED - EXISTING CUSTOMER
Varun Beverages (PepsiCo),VARUN BEVERAGES LIMITED - PATHANKOT,FLAGGED - EXISTING CUSTOMER
Royal Enfield (Eicher),Linclimited,FLAGGED - EXISTING CUSTOMER
Haldia Petrochemicals,Kothari Petrochemicals Ltd.,FLAGGED - EXISTING CUSTOMER
IFFCO,IFFCO Kisan,FLAGGED - EXISTING CUSTOMER
Cipla Ltd,Linclimited,FLAGGED - EXISTING CUSTOMER
Coromandel International,Sohamma International Pvt,FLAGGED - EXISTING CUSTOMER
NTPC (Capex),NTPC LIMITED,FLAGGED - EXISTING CUSTOMER
NALCO,National Aluminium Company Limited (NALCO),FLAGGED - EXISTING CUSTOMER
Parle Products,Prakruti Products Pvt,FLAGGED - EXISTING CUSTOMER
Adani Enterprises (Mining),MODI ENTERPRISES - BANG,FLAGGED - EXISTING CUSTOMER
Cargill India,Linclimited,FLAGGED - EXISTING CUSTOMER
Finolex Industries,Linclimited,FLAGGED - EXISTING CUSTOMER
Hyundai Motor India,Hyundai Motor Group,FLAGGED - EXISTING CUSTOMER
